timestamp,cluster_size,operation,index,success,latency_ms,error
2026-06-26T15:37:18.2317448Z,7,put,1,true,109.441,
2026-06-26T15:37:18.3398896Z,7,put,2,true,108.144,
2026-06-26T15:37:18.4475963Z,7,put,3,true,107.706,
2026-06-26T15:37:18.5552987Z,7,put,4,true,107.702,
2026-06-26T15:37:18.6632045Z,7,put,5,true,107.905,
2026-06-26T15:37:18.7757132Z,7,put,6,true,112.508,
2026-06-26T15:37:18.8833754Z,7,put,7,true,107.662,
2026-06-26T15:37:18.9904441Z,7,put,8,true,107.068,
2026-06-26T15:37:19.0999272Z,7,put,9,true,109.483,
2026-06-26T15:37:19.2122205Z,7,put,10,true,112.293,
2026-06-26T15:37:19.3204027Z,7,put,11,true,108.182,
2026-06-26T15:37:19.4298653Z,7,put,12,true,109.462,
2026-06-26T15:37:19.5371587Z,7,put,13,true,107.293,
2026-06-26T15:37:19.6491216Z,7,put,14,true,111.962,
2026-06-26T15:37:19.7571843Z,7,put,15,true,108.062,
2026-06-26T15:37:19.8647156Z,7,put,16,true,107.531,
2026-06-26T15:37:19.9741482Z,7,put,17,true,109.432,
2026-06-26T15:37:20.0843371Z,7,put,18,true,110.188,
2026-06-26T15:37:20.191708Z,7,put,19,true,107.370,
2026-06-26T15:37:20.3008544Z,7,put,20,true,109.146,
2026-06-26T15:37:20.4080727Z,7,put,21,true,107.218,
2026-06-26T15:37:20.5147874Z,7,put,22,true,106.714,
2026-06-26T15:37:20.6247664Z,7,put,23,true,109.979,
2026-06-26T15:37:20.7330777Z,7,put,24,true,108.311,
2026-06-26T15:37:20.8406677Z,7,put,25,true,107.590,
2026-06-26T15:37:20.949449Z,7,put,26,true,108.781,
2026-06-26T15:37:21.0578096Z,7,put,27,true,108.360,
2026-06-26T15:37:21.1663815Z,7,put,28,true,108.571,
2026-06-26T15:37:21.2742963Z,7,put,29,true,107.914,
2026-06-26T15:37:21.3826057Z,7,put,30,true,108.309,
2026-06-26T15:37:21.4928366Z,7,put,31,true,110.230,
2026-06-26T15:37:21.6032904Z,7,put,32,true,110.453,
2026-06-26T15:37:21.7113764Z,7,put,33,true,108.086,
2026-06-26T15:37:21.8193499Z,7,put,34,true,107.973,
2026-06-26T15:37:21.9302246Z,7,put,35,true,110.874,
2026-06-26T15:37:22.0403313Z,7,put,36,true,110.106,
2026-06-26T15:37:22.1504463Z,7,put,37,true,110.115,
2026-06-26T15:37:22.2611719Z,7,put,38,true,110.725,
2026-06-26T15:37:22.3699818Z,7,put,39,true,108.809,
2026-06-26T15:37:22.4809648Z,7,put,40,true,110.983,
2026-06-26T15:37:22.5896489Z,7,put,41,true,108.684,
2026-06-26T15:37:22.6982996Z,7,put,42,true,108.650,
2026-06-26T15:37:22.8092584Z,7,put,43,true,110.958,
2026-06-26T15:37:22.9173938Z,7,put,44,true,108.135,
2026-06-26T15:37:23.0266187Z,7,put,45,true,109.224,
2026-06-26T15:37:23.1382713Z,7,put,46,true,111.652,
2026-06-26T15:37:23.246775Z,7,put,47,true,108.503,
2026-06-26T15:37:23.3616305Z,7,put,48,true,114.855,
2026-06-26T15:37:23.4758722Z,7,put,49,true,114.241,
2026-06-26T15:37:23.5892224Z,7,put,50,true,113.350,
2026-06-26T15:37:23.6972316Z,7,put,51,true,108.009,
2026-06-26T15:37:23.8059089Z,7,put,52,true,108.677,
2026-06-26T15:37:23.9134484Z,7,put,53,true,107.539,
2026-06-26T15:37:24.0222604Z,7,put,54,true,108.812,
2026-06-26T15:37:24.1316336Z,7,put,55,true,109.373,
2026-06-26T15:37:24.2429255Z,7,put,56,true,110.819,
2026-06-26T15:37:24.3522203Z,7,put,57,true,109.294,
2026-06-26T15:37:24.4627806Z,7,put,58,true,110.560,
2026-06-26T15:37:24.5722187Z,7,put,59,true,109.438,
2026-06-26T15:37:24.6813635Z,7,put,60,true,109.144,
2026-06-26T15:37:24.7891292Z,7,put,61,true,107.765,
2026-06-26T15:37:24.8977747Z,7,put,62,true,108.645,
2026-06-26T15:37:25.0070896Z,7,put,63,true,109.012,
2026-06-26T15:37:25.1170226Z,7,put,64,true,109.933,
2026-06-26T15:37:25.2297034Z,7,put,65,true,112.680,
2026-06-26T15:37:25.3388993Z,7,put,66,true,109.195,
2026-06-26T15:37:25.4464326Z,7,put,67,true,107.533,
2026-06-26T15:37:25.5578657Z,7,put,68,true,111.433,
2026-06-26T15:37:25.668113Z,7,put,69,true,110.247,
2026-06-26T15:37:25.7751758Z,7,put,70,true,107.062,
2026-06-26T15:37:25.8844146Z,7,put,71,true,109.238,
2026-06-26T15:37:25.9929909Z,7,put,72,true,108.576,
2026-06-26T15:37:26.1037811Z,7,put,73,true,110.790,
2026-06-26T15:37:26.2159989Z,7,put,74,true,112.217,
2026-06-26T15:37:26.3251495Z,7,put,75,true,109.150,
2026-06-26T15:37:26.4364498Z,7,put,76,true,111.300,
2026-06-26T15:37:26.5467848Z,7,put,77,true,110.335,
2026-06-26T15:37:26.6558222Z,7,put,78,true,109.037,
2026-06-26T15:37:26.766296Z,7,put,79,true,110.473,
2026-06-26T15:37:26.8754865Z,7,put,80,true,109.190,
2026-06-26T15:37:26.9872044Z,7,put,81,true,111.717,
2026-06-26T15:37:27.0958798Z,7,put,82,true,108.675,
2026-06-26T15:37:27.2062629Z,7,put,83,true,110.383,
2026-06-26T15:37:27.319289Z,7,put,84,true,113.026,
2026-06-26T15:37:27.4287835Z,7,put,85,true,109.494,
2026-06-26T15:37:27.5395549Z,7,put,86,true,110.771,
2026-06-26T15:37:27.6490589Z,7,put,87,true,109.504,
2026-06-26T15:37:27.7569499Z,7,put,88,true,107.891,
2026-06-26T15:37:27.8681682Z,7,put,89,true,111.218,
2026-06-26T15:37:27.9779251Z,7,put,90,true,109.756,
2026-06-26T15:37:28.0853307Z,7,put,91,true,107.405,
2026-06-26T15:37:28.196923Z,7,put,92,true,111.592,
2026-06-26T15:37:28.3073736Z,7,put,93,true,110.450,
2026-06-26T15:37:28.417822Z,7,put,94,true,110.448,
2026-06-26T15:37:28.5330694Z,7,put,95,true,115.247,
2026-06-26T15:37:28.6452325Z,7,put,96,true,112.163,
2026-06-26T15:37:28.7557562Z,7,put,97,true,110.523,
2026-06-26T15:37:28.8657706Z,7,put,98,true,110.014,
2026-06-26T15:37:28.9746842Z,7,put,99,true,108.913,
2026-06-26T15:37:29.0836208Z,7,put,100,true,108.936,
2026-06-26T15:37:29.1936384Z,7,put,101,true,109.227,
2026-06-26T15:37:29.3040631Z,7,put,102,true,110.424,
2026-06-26T15:37:29.4135925Z,7,put,103,true,109.529,
2026-06-26T15:37:29.5230677Z,7,put,104,true,109.475,
2026-06-26T15:37:29.6338944Z,7,put,105,true,110.826,
2026-06-26T15:37:29.7410049Z,7,put,106,true,107.110,
2026-06-26T15:37:29.8484191Z,7,put,107,true,107.414,
2026-06-26T15:37:29.9550494Z,7,put,108,true,106.630,
2026-06-26T15:37:30.0643622Z,7,put,109,true,108.685,
2026-06-26T15:37:30.1732657Z,7,put,110,true,108.903,
2026-06-26T15:37:30.2820183Z,7,put,111,true,108.752,
2026-06-26T15:37:30.3908108Z,7,put,112,true,108.792,
2026-06-26T15:37:30.4991738Z,7,put,113,true,108.363,
2026-06-26T15:37:30.6113128Z,7,put,114,true,112.139,
2026-06-26T15:37:30.724281Z,7,put,115,true,112.968,
2026-06-26T15:37:30.8330876Z,7,put,116,true,108.806,
2026-06-26T15:37:30.9422487Z,7,put,117,true,109.161,
2026-06-26T15:37:31.0535936Z,7,put,118,true,111.344,
2026-06-26T15:37:31.164Z,7,put,119,true,110.406,
2026-06-26T15:37:31.2754221Z,7,put,120,true,111.422,
2026-06-26T15:37:31.3876124Z,7,put,121,true,112.190,
2026-06-26T15:37:31.4981981Z,7,put,122,true,110.585,
2026-06-26T15:37:31.6071703Z,7,put,123,true,108.972,
2026-06-26T15:37:31.7152961Z,7,put,124,true,108.125,
2026-06-26T15:37:31.8265236Z,7,put,125,true,111.227,
2026-06-26T15:37:31.9358751Z,7,put,126,true,109.351,
2026-06-26T15:37:32.0437572Z,7,put,127,true,107.882,
2026-06-26T15:37:32.1518047Z,7,put,128,true,108.047,
2026-06-26T15:37:32.2757415Z,7,put,129,true,123.936,
2026-06-26T15:37:32.3899395Z,7,put,130,true,113.484,
2026-06-26T15:37:32.4998638Z,7,put,131,true,109.924,
2026-06-26T15:37:32.6109374Z,7,put,132,true,111.073,
2026-06-26T15:37:32.7196948Z,7,put,133,true,108.757,
2026-06-26T15:37:32.8307071Z,7,put,134,true,111.012,
2026-06-26T15:37:32.9436047Z,7,put,135,true,112.897,
2026-06-26T15:37:33.0523956Z,7,put,136,true,108.790,
2026-06-26T15:37:33.1634322Z,7,put,137,true,111.036,
2026-06-26T15:37:33.2733837Z,7,put,138,true,109.951,
2026-06-26T15:37:33.383564Z,7,put,139,true,110.180,
2026-06-26T15:37:33.4934255Z,7,put,140,true,109.861,
2026-06-26T15:37:33.6024972Z,7,put,141,true,109.071,
2026-06-26T15:37:33.7151929Z,7,put,142,true,112.695,
2026-06-26T15:37:33.8245433Z,7,put,143,true,109.350,
2026-06-26T15:37:33.9367862Z,7,put,144,true,112.242,
2026-06-26T15:37:34.0554613Z,7,put,145,true,118.675,
2026-06-26T15:37:34.1662418Z,7,put,146,true,110.780,
2026-06-26T15:37:34.2783998Z,7,put,147,true,112.158,
2026-06-26T15:37:34.3881847Z,7,put,148,true,109.784,
2026-06-26T15:37:34.4977248Z,7,put,149,true,109.540,
2026-06-26T15:37:34.6114615Z,7,put,150,true,113.736,
2026-06-26T15:37:34.7206055Z,7,put,151,true,109.144,
2026-06-26T15:37:34.8305713Z,7,put,152,true,109.965,
2026-06-26T15:37:34.9405712Z,7,put,153,true,109.999,
2026-06-26T15:37:35.0552921Z,7,put,154,true,114.195,
2026-06-26T15:37:35.1648497Z,7,put,155,true,109.557,
2026-06-26T15:37:35.2764838Z,7,put,156,true,111.634,
2026-06-26T15:37:35.3879126Z,7,put,157,true,111.428,
2026-06-26T15:37:35.496828Z,7,put,158,true,108.915,
2026-06-26T15:37:35.6065341Z,7,put,159,true,109.706,
2026-06-26T15:37:35.7189156Z,7,put,160,true,112.381,
2026-06-26T15:37:35.830657Z,7,put,161,true,111.741,
2026-06-26T15:37:35.9450204Z,7,put,162,true,114.363,
2026-06-26T15:37:36.0537419Z,7,put,163,true,108.721,
2026-06-26T15:37:36.1648055Z,7,put,164,true,111.063,
2026-06-26T15:37:36.2740092Z,7,put,165,true,109.203,
2026-06-26T15:37:36.3840579Z,7,put,166,true,110.048,
2026-06-26T15:37:36.4937525Z,7,put,167,true,109.694,
2026-06-26T15:37:36.6035719Z,7,put,168,true,109.819,
2026-06-26T15:37:36.7154607Z,7,put,169,true,111.888,
2026-06-26T15:37:36.8282776Z,7,put,170,true,112.816,
2026-06-26T15:37:36.9404863Z,7,put,171,true,112.208,
2026-06-26T15:37:37.0526418Z,7,put,172,true,112.155,
2026-06-26T15:37:37.1620855Z,7,put,173,true,109.443,
2026-06-26T15:37:37.2710426Z,7,put,174,true,108.957,
2026-06-26T15:37:37.3812468Z,7,put,175,true,110.204,
2026-06-26T15:37:37.4931625Z,7,put,176,true,111.915,
2026-06-26T15:37:37.6157599Z,7,put,177,true,122.597,
2026-06-26T15:37:37.7240246Z,7,put,178,true,108.264,
2026-06-26T15:37:37.836308Z,7,put,179,true,112.283,
2026-06-26T15:37:37.9504083Z,7,put,180,true,114.100,
2026-06-26T15:37:38.0601563Z,7,put,181,true,109.748,
2026-06-26T15:37:38.1694322Z,7,put,182,true,109.275,
2026-06-26T15:37:38.2784472Z,7,put,183,true,109.015,
2026-06-26T15:37:38.3874586Z,7,put,184,true,109.011,
2026-06-26T15:37:38.4985805Z,7,put,185,true,111.121,
2026-06-26T15:37:38.6094083Z,7,put,186,true,110.827,
2026-06-26T15:37:38.7193953Z,7,put,187,true,109.987,
2026-06-26T15:37:38.8302677Z,7,put,188,true,110.872,
2026-06-26T15:37:38.9399267Z,7,put,189,true,109.659,
2026-06-26T15:37:39.0499615Z,7,put,190,true,110.034,
2026-06-26T15:37:39.160525Z,7,put,191,true,110.563,
2026-06-26T15:37:39.2699785Z,7,put,192,true,109.453,
2026-06-26T15:37:39.3846355Z,7,put,193,true,114.657,
2026-06-26T15:37:39.4929717Z,7,put,194,true,108.336,
2026-06-26T15:37:39.6050465Z,7,put,195,true,112.074,
2026-06-26T15:37:39.7164068Z,7,put,196,true,111.360,
2026-06-26T15:37:39.8255837Z,7,put,197,true,109.176,
2026-06-26T15:37:39.9352989Z,7,put,198,true,109.715,
2026-06-26T15:37:40.044281Z,7,put,199,true,108.982,
2026-06-26T15:37:40.1622032Z,7,put,200,true,117.922,
2026-06-26T15:37:40.273527Z,7,put,201,true,111.323,
2026-06-26T15:37:40.3830619Z,7,put,202,true,109.534,
2026-06-26T15:37:40.4979729Z,7,put,203,true,114.911,
2026-06-26T15:37:40.6086459Z,7,put,204,true,110.673,
2026-06-26T15:37:40.7235435Z,7,put,205,true,114.897,
2026-06-26T15:37:40.8330047Z,7,put,206,true,109.461,
2026-06-26T15:37:40.943893Z,7,put,207,true,110.888,
2026-06-26T15:37:41.0578296Z,7,put,208,true,113.936,
2026-06-26T15:37:41.1700772Z,7,put,209,true,112.247,
2026-06-26T15:37:41.282602Z,7,put,210,true,112.524,
2026-06-26T15:37:41.3920552Z,7,put,211,true,109.453,
2026-06-26T15:37:41.5029595Z,7,put,212,true,110.904,
2026-06-26T15:37:41.6173783Z,7,put,213,true,114.418,
2026-06-26T15:37:41.7288956Z,7,put,214,true,111.517,
2026-06-26T15:37:41.8434553Z,7,put,215,true,114.559,
2026-06-26T15:37:41.9551513Z,7,put,216,true,111.696,
2026-06-26T15:37:42.0660432Z,7,put,217,true,110.891,
2026-06-26T15:37:42.1777611Z,7,put,218,true,111.717,
2026-06-26T15:37:42.289996Z,7,put,219,true,112.234,
2026-06-26T15:37:42.4011924Z,7,put,220,true,111.196,
2026-06-26T15:37:42.5112602Z,7,put,221,true,110.067,
2026-06-26T15:37:42.6262747Z,7,put,222,true,115.014,
2026-06-26T15:37:42.7410051Z,7,put,223,true,114.730,
2026-06-26T15:37:42.8511394Z,7,put,224,true,110.134,
2026-06-26T15:37:42.9626168Z,7,put,225,true,111.477,
2026-06-26T15:37:43.0723802Z,7,put,226,true,109.763,
2026-06-26T15:37:43.1809663Z,7,put,227,true,108.586,
2026-06-26T15:37:43.2904517Z,7,put,228,true,109.485,
2026-06-26T15:37:43.3995178Z,7,put,229,true,109.066,
2026-06-26T15:37:43.5170292Z,7,put,230,true,117.511,
2026-06-26T15:37:43.6281444Z,7,put,231,true,111.115,
2026-06-26T15:37:43.7394938Z,7,put,232,true,111.349,
2026-06-26T15:37:43.8484858Z,7,put,233,true,108.992,
2026-06-26T15:37:43.9563153Z,7,put,234,true,107.829,
2026-06-26T15:37:44.0746865Z,7,put,235,true,117.405,
2026-06-26T15:37:44.1860328Z,7,put,236,true,111.346,
2026-06-26T15:37:44.2953358Z,7,put,237,true,109.303,
2026-06-26T15:37:44.4073134Z,7,put,238,true,111.977,
2026-06-26T15:37:44.5242462Z,7,put,239,true,116.932,
2026-06-26T15:37:44.6359141Z,7,put,240,true,111.667,
2026-06-26T15:37:44.7497537Z,7,put,241,true,113.839,
2026-06-26T15:37:44.8602573Z,7,put,242,true,110.503,
2026-06-26T15:37:44.9716187Z,7,put,243,true,111.361,
2026-06-26T15:37:45.082649Z,7,put,244,true,110.383,
2026-06-26T15:37:45.1955472Z,7,put,245,true,112.898,
2026-06-26T15:37:45.3054983Z,7,put,246,true,109.951,
2026-06-26T15:37:45.4200377Z,7,put,247,true,114.539,
2026-06-26T15:37:45.5333934Z,7,put,248,true,113.355,
2026-06-26T15:37:45.6448663Z,7,put,249,true,111.472,
2026-06-26T15:37:45.7559637Z,7,put,250,true,111.097,
2026-06-26T15:37:45.8656852Z,7,put,251,true,109.721,
2026-06-26T15:37:45.9804452Z,7,put,252,true,114.760,
2026-06-26T15:37:46.0897414Z,7,put,253,true,109.296,
2026-06-26T15:37:46.2020122Z,7,put,254,true,112.270,
2026-06-26T15:37:46.3195034Z,7,put,255,true,117.491,
2026-06-26T15:37:46.4307923Z,7,put,256,true,111.288,
2026-06-26T15:37:46.5473137Z,7,put,257,true,116.521,
2026-06-26T15:37:46.6579569Z,7,put,258,true,110.643,
2026-06-26T15:37:46.7684062Z,7,put,259,true,110.449,
2026-06-26T15:37:46.8838981Z,7,put,260,true,115.491,
2026-06-26T15:37:46.9965206Z,7,put,261,true,112.622,
2026-06-26T15:37:47.1077261Z,7,put,262,true,111.205,
2026-06-26T15:37:47.2195906Z,7,put,263,true,111.864,
2026-06-26T15:37:47.3305581Z,7,put,264,true,110.967,
2026-06-26T15:37:47.4417355Z,7,put,265,true,111.177,
2026-06-26T15:37:47.5553686Z,7,put,266,true,113.633,
2026-06-26T15:37:47.6662524Z,7,put,267,true,110.883,
2026-06-26T15:37:47.7772989Z,7,put,268,true,111.046,
2026-06-26T15:37:47.8885555Z,7,put,269,true,111.256,
2026-06-26T15:37:48.0040539Z,7,put,270,true,115.498,
2026-06-26T15:37:48.1144917Z,7,put,271,true,110.437,
2026-06-26T15:37:48.2253586Z,7,put,272,true,110.866,
2026-06-26T15:37:48.3372662Z,7,put,273,true,111.907,
2026-06-26T15:37:48.4500495Z,7,put,274,true,112.783,
2026-06-26T15:37:48.569595Z,7,put,275,true,119.545,
2026-06-26T15:37:48.6820635Z,7,put,276,true,112.468,
2026-06-26T15:37:48.7921377Z,7,put,277,true,110.074,
2026-06-26T15:37:48.9024164Z,7,put,278,true,110.278,
2026-06-26T15:37:49.0215463Z,7,put,279,true,119.129,
2026-06-26T15:37:49.1358532Z,7,put,280,true,114.306,
2026-06-26T15:37:49.2486372Z,7,put,281,true,112.784,
2026-06-26T15:37:49.3596193Z,7,put,282,true,110.982,
2026-06-26T15:37:49.4761942Z,7,put,283,true,116.574,
2026-06-26T15:37:49.587529Z,7,put,284,true,111.334,
2026-06-26T15:37:49.6989698Z,7,put,285,true,111.440,
2026-06-26T15:37:49.8133271Z,7,put,286,true,114.357,
2026-06-26T15:37:49.9244834Z,7,put,287,true,111.156,
2026-06-26T15:37:50.0339447Z,7,put,288,true,109.461,
2026-06-26T15:37:50.1464348Z,7,put,289,true,112.490,
2026-06-26T15:37:50.263171Z,7,put,290,true,116.736,
2026-06-26T15:37:50.3760614Z,7,put,291,true,112.890,
2026-06-26T15:37:50.4887654Z,7,put,292,true,112.704,
2026-06-26T15:37:50.6028153Z,7,put,293,true,114.049,
2026-06-26T15:37:50.7151239Z,7,put,294,true,112.308,
2026-06-26T15:37:50.8280349Z,7,put,295,true,112.911,
2026-06-26T15:37:50.944704Z,7,put,296,true,116.669,
2026-06-26T15:37:51.0534909Z,7,put,297,true,108.786,
2026-06-26T15:37:51.1677698Z,7,put,298,true,114.278,
2026-06-26T15:37:51.2825089Z,7,put,299,true,114.739,
